row_id,player,year,position,school,height,weight,forty,vertical,bench,shuttle,pick_number
275,Terrelle Smith,2000,FB,Arizona St.,72,249,5.0,32.5,19.0,4.85,96.0
276,R. Jay Soward,2000,WR,USC,69,177,4.34,35.0,,,29.0
277,Rashon Spikes,2000,RB,Boise St.,70,204,4.78,33.0,13.0,4.47,
278,Quinton Spotwood,2000,WR,Syracuse,71,184,4.55,33.5,,,
279,Dave Stachelski,2000,TE,Boise St.,75,250,4.78,38.0,24.0,4.14,141.0
280,Shyrone Stith,2000,RB,Virginia Tech,67,204,4.6,35.0,13.0,4.14,243.0
281,Jay Tant,2000,TE,Northwestern,75,255,4.75,,31.0,,164.0
282,Mark Tauscher,2000,OG,Wisconsin,75,318,5.37,27.0,22.0,4.84,224.0
283,Shannon Taylor,2000,OLB,Virginia,75,249,4.65,34.5,,,184.0
284,Travis Taylor,2000,WR,Florida,73,199,4.43,37.0,,,10.0
285,Adalius Thomas,2000,DE,Southern Miss,74,270,4.56,38.5,,4.42,186.0
286,Jason Thomas,2000,OG,South Carolina,75,300,5.22,29.5,23.0,,222.0
287,Michael Thompson,2000,OT,Tennessee St.,76,305,5.28,26.0,16.0,4.73,100.0
288,Raynoch Thompson,2000,OLB,Tennessee,75,220,4.65,,,,41.0
289,Travares Tillman,2000,FS,Georgia Tech,73,194,4.6,37.5,15.0,4.29,58.0
290,Mao Tosi,2000,DT,Idaho,77,310,5.26,28.5,19.0,4.6,136.0
291,Mac Tuiaea,2000,DT,Washington,78,296,5.09,29.0,25.0,4.72,
292,Ryan Tujague,2000,OG,Washington St.,77,297,5.16,27.0,21.0,4.95,
293,Jeff Ulbrich,2000,ILB,Hawaii,72,249,4.65,32.0,24.0,4.3,86.0
294,Brian Urlacher,2000,OLB,New Mexico,76,258,4.59,34.0,27.0,4.18,9.0
295,Darrick Vaughn,2000,CB,Texas St.,71,196,4.53,36.5,14.0,4.16,211.0
296,Andy Vincent,2000,OG,Texas A&M,76,306,5.2,28.5,14.0,4.42,
297,Todd Wade,2000,OT,Mississippi,80,326,5.22,27.5,29.0,4.68,53.0
298,Darwin Walker,2000,DT,Tennessee,74,293,4.82,,,,71.0
299,Jeff Walker,2000,P,Mississippi St.,70,218,,,,,
300,Troy Walters,2000,WR,Stanford,66,171,4.55,32.5,,3.84,165.0
301,Steve Warren,2000,DT,Nebraska,73,307,5.1,30.5,29.0,4.56,74.0
302,Peter Warrick,2000,WR,Florida St.,71,194,4.58,,,,4.0
303,Jason Webster,2000,CB,Texas A&M,69,180,4.42,35.5,17.0,3.98,48.0
304,James Whalen,2000,TE,Kentucky,74,228,4.78,31.0,,4.22,157.0
305,Austin Wheatley,2000,TE,Iowa,76,254,4.66,32.5,,4.18,158.0
306,Damen Wheeler,2000,CB,Colorado,69,179,4.51,35.0,11.0,4.27,203.0
307,Anthony White,2000,RB,Kentucky,72,195,4.68,32.5,,4.24,
308,Dez White,2000,WR,Georgia Tech,73,218,4.62,37.5,,4.09,69.0
309,Jerard White,2000,CB,Massachusetts,73,213,4.61,38.5,14.0,4.53,
310,Michael Wiley,2000,RB,Ohio St.,71,193,4.5,,,,144.0
311,Bobbie Williams,2000,OT,Arkansas,76,332,5.26,29.0,28.0,4.72,61.0
312,Boo Williams,2000,RB,South Carolina,71,222,4.52,,,,
313,Jack Williams,2000,SS,Azusa Pacific,70,206,4.72,31.5,15.0,4.65,
314,James Williams,2000,WR,Marshall,71,180,4.59,36.0,,4.16,175.0
315,Josh Williams,2000,DT,Michigan,75,282,4.9,30.5,,4.25,122.0
316,Antonio Wilson,2000,OLB,Texas A&M-Commerce,74,245,4.56,,11.0,,106.0
317,Cedric Woodard,2000,DT,Texas,74,290,5.21,30.5,23.0,,191.0
318,Destry Wright,2000,RB,Jackson St.,71,216,4.84,29.5,15.0,4.41,
319,Spergon Wynn,2000,QB,Texas St.,75,229,4.91,34.0,,4.59,183.0
320,Bashir Yamini,2000,WR,Iowa,75,191,4.53,33.0,,4.18,
321,Brian Young,2000,DE,Texas-El Paso,74,278,4.94,29.5,27.0,4.47,139.0
322,Keith Adams,2001,OLB,Clemson,71,219,4.82,,24.0,,232.0
323,Hakim Akbar,2001,FS,Washington,72,210,4.55,,,,163.0
324,Will Allen,2001,CB,Syracuse,70,192,4.44,39.5,14.0,3.9,22.0
325,Matt Allen,2001,P,Troy,75,246,,,,,
326,David Allen,2001,RB,Kansas St.,69,194,4.62,31.0,15.0,,
327,Brian Allen,2001,OLB,Florida St.,72,238,4.65,,25.0,,83.0
328,Scotty Anderson,2001,WR,Grambling St.,74,184,4.57,34.5,,,148.0
329,Adam Archuleta,2001,SS,Arizona St.,72,211,4.46,,31.0,,20.0
330,Tom Ashworth,2001,OG,Colorado,78,293,5.11,33.5,20.0,4.3,
